seiza x0 y0 z0 ly0 x1 y1 z1 ly1
end_header
Dra -0.37031 0.90165 0.22337 3.67 -0.34181 0.93843 0.0503 3.85
Dra -0.34181 0.93843 0.0503 3.85 -0.35022 0.93564 -0.04392 3.82
Equ 0.72677 0.17592 0.66398 4.7 0.73893 0.17379 0.651 4.47
Equ 0.73893 0.17379 0.651 4.47 0.76864 0.1186 0.6286 5.16
Equ 0.76864 0.1186 0.6286 5.16 0.75105 0.09147 0.65389 3.92
Equ 0.75105 0.09147 0.65389 3.92 0.72677 0.17592 0.66398 4.7
Eri 0.49273 -0.84091 -0.2238 0.45 0.54323 -0.78379 -0.30094 3.69
Eri 0.54323 -0.78379 -0.30094 3.69 0.51518 -0.78273 -0.34915 3.56
Eri 0.51518 -0.78273 -0.34915 3.56 0.53925 -0.73967 -0.40261 4.24
Eri 0.53925 -0.73967 -0.40261 4.24 0.56166 -0.68061 -0.47044 4.74
Eri 0.56166 -0.68061 -0.47044 4.74 0.58664 -0.64085 -0.49515 4.11
Eri 0.58664 -0.64085 -0.49515 4.11 0.54333 -0.64685 -0.53514 2.88
Eri 0.54333 -0.64685 -0.53514 2.88 0.46984 -0.68291 -0.55936 4.26
Eri 0.46984 -0.68291 -0.55936 4.26 0.42967 -0.61042 -0.66541 4.3
Eri 0.42967 -0.61042 -0.66541 4.3 0.4352 -0.5906 -0.67954 4.17
Eri 0.4352 -0.5906 -0.67954 4.17 0.35811 -0.55627 -0.74988 3.55
Eri 0.35811 -0.55627 -0.74988 3.55 0.33702 -0.55943 -0.75726 3.97
Eri 0.33702 -0.55943 -0.75726 3.97 0.31016 -0.50847 -0.80327 3.81
Eri 0.31016 -0.50847 -0.80327 3.81 0.50428 -0.39471 -0.76805 4.22
Eri 0.50428 -0.39471 -0.76805 4.22 0.55362 -0.36865 -0.74672 4.26
Eri 0.55362 -0.36865 -0.74672 4.26 0.5985 -0.37068 -0.7102 3.7
Eri 0.5985 -0.37068 -0.7102 3.7 0.64105 -0.40073 -0.65457 4.08
Eri 0.64105 -0.40073 -0.65457 4.08 0.71242 -0.3185 -0.62531 4.47
Eri 0.71242 -0.3185 -0.62531 4.47 0.70941 -0.15466 -0.68762 3.89
Eri 0.70941 -0.15466 -0.68762 3.89 0.64885 -0.15332 -0.74531 4.8
Eri 0.64885 -0.15332 -0.74531 4.8 0.5904 -0.16432 -0.7902 3.72
Eri 0.5904 -0.16432 -0.7902 3.72 0.55377 -0.16961 -0.81521 3.52
Eri 0.55377 -0.16961 -0.81521 3.52 0.35646 -0.05847 -0.93247 3.93
Eri 0.35646 -0.05847 -0.93247 3.93 0.31885 -0.05677 -0.9461 4.01
Eri 0.31885 -0.05677 -0.9461 4.01 0.28734 -0.09502 -0.9531 4.36
Eri 0.28734 -0.09502 -0.9531 4.36 0.2247 -0.08865 -0.97038 2.78
Eri 0.2247 -0.08865 -0.97038 2.78 0.21752 -0.15219 -0.96411 4.25
Eri 0.21752 -0.15219 -0.96411 4.25 0.33864 -0.24705 -0.9079 3.86
For 0.62473 -0.53591 -0.5679 4.45 0.5851 -0.48464 -0.65021 3.8
Gem -0.15714 0.28234 -0.94635 1.93 -0.25849 0.35136 -0.89985 4.01
Gem -0.25849 0.35136 -0.89985 4.01 -0.31762 0.37433 -0.8712 3.5
Gem -0.31762 0.37433 -0.8712 3.5 -0.32036 0.2847 -0.9035 3.58
Gem -0.32036 0.2847 -0.9035 3.58 -0.19138 0.22319 -0.9558 3.35
Gem -0.31762 0.37433 -0.8712 3.5 -0.36246 0.45238 -0.81484 4.06
Gem -0.36246 0.45238 -0.81484 4.06 -0.40082 0.41308 -0.81774 3.57
Gem -0.36246 0.45238 -0.81484 4.06 -0.39153 0.46988 -0.79114 1.16
Gem -0.36246 0.45238 -0.81484 4.06 -0.32322 0.46637 -0.82342 3.78
Gem -0.32322 0.46637 -0.82342 3.78 -0.26386 0.50371 -0.82259 4.41
Gem -0.26386 0.50371 -0.82259 4.41 -0.3406 0.52827 -0.77776 1.58
Gem -0.26386 0.50371 -0.82259 4.41 -0.18935 0.55864 -0.8075 3.6
